,sound_index,subject_index,naturalness,sound_filename,snr,sound_background,sound_foreground,model
0,2,4,3,snrN10_noiseAudScene_fg022.wav,-10,noiseAudScene,fg022,wavenet_waveform
1,3,5,2,snrN10_noiseAudScene_fg025.wav,-10,noiseAudScene,fg025,wavenet_waveform
2,3,15,2,snrN10_noiseAudScene_fg025.wav,-10,noiseAudScene,fg025,wavenet_waveform
3,4,23,3,snrN10_noiseAudScene_fg030.wav,-10,noiseAudScene,fg030,wavenet_waveform
4,4,26,1,snrN10_noiseAudScene_fg030.wav,-10,noiseAudScene,fg030,wavenet_waveform
5,6,12,3,snrN10_noiseAudScene_fg045.wav,-10,noiseAudScene,fg045,wavenet_waveform
6,6,16,5,snrN10_noiseAudScene_fg045.wav,-10,noiseAudScene,fg045,wavenet_waveform
7,7,9,4,snrN10_noiseAudScene_fg046.wav,-10,noiseAudScene,fg046,wavenet_waveform
8,8,27,3,snrN10_noiseAudScene_fg063.wav,-10,noiseAudScene,fg063,wavenet_waveform
9,9,8,2,snrN10_noiseAudScene_fg072.wav,-10,noiseAudScene,fg072,wavenet_waveform
10,9,31,1,snrN10_noiseAudScene_fg072.wav,-10,noiseAudScene,fg072,wavenet_waveform
11,9,32,1,snrN10_noiseAudScene_fg072.wav,-10,noiseAudScene,fg072,wavenet_waveform
12,10,25,1,snrN10_noiseAudScene_fg078.wav,-10,noiseAudScene,fg078,wavenet_waveform
13,11,13,2,snrN10_noiseAudScene_fg080.wav,-10,noiseAudScene,fg080,wavenet_waveform
14,12,7,1,snrN10_noiseAudScene_fg099.wav,-10,noiseAudScene,fg099,wavenet_waveform
15,12,24,1,snrN10_noiseAudScene_fg099.wav,-10,noiseAudScene,fg099,wavenet_waveform
16,15,28,1,snrN10_noiseAudScene_fg166.wav,-10,noiseAudScene,fg166,wavenet_waveform
17,17,0,1,snrN10_noiseAudScene_fg220.wav,-10,noiseAudScene,fg220,wavenet_waveform
18,17,30,1,snrN10_noiseAudScene_fg220.wav,-10,noiseAudScene,fg220,wavenet_waveform
19,18,14,1,snrN10_noiseAudScene_fg267.wav,-10,noiseAudScene,fg267,wavenet_waveform
20,18,20,1,snrN10_noiseAudScene_fg267.wav,-10,noiseAudScene,fg267,wavenet_waveform
21,21,1,1,snrN10_noiseAudScene_fg322.wav,-10,noiseAudScene,fg322,wavenet_waveform
22,21,6,2,snrN10_noiseAudScene_fg322.wav,-10,noiseAudScene,fg322,wavenet_waveform
23,23,35,2,snrN10_noiseAudScene_fg329.wav,-10,noiseAudScene,fg329,wavenet_waveform
24,28,17,1,snrN10_noiseAudScene_fg405.wav,-10,noiseAudScene,fg405,wavenet_waveform
25,28,18,2,snrN10_noiseAudScene_fg405.wav,-10,noiseAudScene,fg405,wavenet_waveform
26,28,33,1,snrN10_noiseAudScene_fg405.wav,-10,noiseAudScene,fg405,wavenet_waveform
27,28,34,1,snrN10_noiseAudScene_fg405.wav,-10,noiseAudScene,fg405,wavenet_waveform
28,30,3,1,snrN10_noiseAudScene_fg451.wav,-10,noiseAudScene,fg451,wavenet_waveform
29,30,21,1,snrN10_noiseAudScene_fg451.wav,-10,noiseAudScene,fg451,wavenet_waveform
30,30,29,2,snrN10_noiseAudScene_fg451.wav,-10,noiseAudScene,fg451,wavenet_waveform
31,31,11,1,snrN10_noiseAudScene_fg475.wav,-10,noiseAudScene,fg475,wavenet_waveform
32,35,19,1,snrN10_noiseAudScene_fg537.wav,-10,noiseAudScene,fg537,wavenet_waveform
33,38,2,3,snrN10_noiseAudScene_fg671.wav,-10,noiseAudScene,fg671,wavenet_waveform
34,38,10,1,snrN10_noiseAudScene_fg671.wav,-10,noiseAudScene,fg671,wavenet_waveform
35,39,22,2,snrN10_noiseAudScene_fg763.wav,-10,noiseAudScene,fg763,wavenet_waveform
36,40,22,1,snrN10_noiseBabble8Spkr_fg000.wav,-10,noiseBabble8Spkr,fg000,wavenet_waveform
